Time,Channel A
(ms),(V)

91.20399977,-4.30982400
91.20599977,-4.32081100
91.20799977,-4.32081100
91.20999977,-4.29944800
91.21199977,-4.29944800
91.21399977,-4.32081100
91.21599977,-4.28907100
91.21799977,-4.25733200
91.21999977,-4.28907100
91.22199977,-4.26770800
91.22399977,-4.29944800
91.22599977,-4.33118700
91.22799977,-4.28907100
91.22999977,-4.34156300
91.23199977,-4.28907100
91.23399977,-4.30982400
91.23599977,-4.32081100
91.23799977,-4.28907100
91.23999977,-4.27869500
91.24199977,-4.35194000
91.24399977,-4.33118700
91.24599977,-4.29944800
91.24799977,-4.28907100
91.24999977,-4.27869500
91.25199977,-4.33118700
91.25399977,-4.29944800
91.25599977,-4.28907100
91.25799977,-4.30982400
91.25999977,-4.26770800
91.26199977,-4.28907100
91.26399977,-4.30982400
91.26599977,-4.30982400
91.26799977,-4.27869500
91.26999977,-4.29944800
91.27199977,-4.29944800
91.27399977,-4.28907100
91.27599977,-4.30982400
91.27799977,-4.28907100
91.27999977,-4.28907100
91.28199977,-4.33118700
91.28399977,-4.30982400
91.28599977,-4.27869500
91.28799977,-4.30982400
91.28999977,-4.29944800
91.29199977,-4.29944800
91.29399977,-4.29944800
91.29599977,-4.29944800
91.29799977,-4.26770800
91.29999977,-4.32081100
91.30199977,-4.29944800
91.30399977,-4.28907100
91.30599977,-4.26770800
91.30799977,-4.29944800
91.30999977,-4.28907100
91.31199977,-4.28907100
91.31399977,-4.30982400
91.31599977,-4.27869500
91.31799977,-4.28907100
91.31999977,-4.26770800
91.32199977,-4.26770800
91.32399977,-4.28907100
91.32599977,-4.29944800
91.32799977,-4.28907100
91.32999977,-4.30982400
91.33199977,-4.30982400
91.33399977,-4.28907100
91.33599977,-4.28907100
91.33799977,-4.28907100
91.33999977,-4.28907100
91.34199977,-4.29944800
91.34399977,-4.30982400
91.34599977,-4.30982400
91.34799977,-4.27869500
91.34999977,-4.27869500
91.35199977,-4.28907100
91.35399977,-4.26770800
91.35599977,-4.27869500
91.35799977,-4.29944800
91.35999977,-4.30982400
91.36199977,-4.28907100
91.36399977,-4.32081100
91.36599977,-4.29944800
91.36799977,-4.32081100
91.36999977,-4.32081100
91.37199977,-4.28907100
91.37399977,-4.27869500
91.37599977,-4.29944800
91.37799977,-4.29944800
91.37999977,-4.34156300
91.38199977,-4.29944800
91.38399977,-4.29944800
91.38599977,-4.28907100
91.38799977,-4.30982400
91.38999977,-4.27869500
91.39199977,-4.30982400
91.39399977,-4.33118700
91.39599977,-4.30982400
91.39799977,-4.29944800
91.39999977,-4.28907100
91.40199977,-4.25733200
91.40399977,-4.26770800
91.40599977,-4.29944800
91.40799977,-4.32081100
91.40999977,-4.29944800
91.41199977,-4.29944800
91.41399977,-4.35194000
91.41599977,-4.26770800
91.41799977,-4.29944800
91.41999977,-4.29944800
91.42199977,-4.29944800
91.42399977,-4.30982400
91.42599977,-4.26770800
91.42799977,-4.28907100
91.42999977,-4.27869500
91.43199977,-4.29944800
91.43399977,-4.32081100
91.43599977,-4.32081100
91.43799977,-4.29944800
91.43999977,-4.27869500
91.44199977,-4.26770800
91.44399977,-4.29944800
91.44599977,-4.34156300
91.44799977,-4.30982400
91.44999977,-4.30982400
91.45199977,-4.30982400
91.45399977,-4.29944800
91.45599977,-4.28907100
91.45799977,-4.29944800
91.45999977,-4.28907100
91.46199977,-4.30982400
91.46399977,-4.30982400
91.46599977,-4.27869500
91.46799977,-4.27869500
91.46999977,-4.28907100
91.47199977,-4.30982400
91.47399977,-4.29944800
91.47599977,-4.30982400
91.47799977,-4.30982400
91.47999977,-4.30982400
91.48199977,-4.28907100
91.48399977,-4.32081100
91.48599977,-4.25733200
91.48799977,-4.32081100
91.48999977,-4.30982400
91.49199977,-4.30982400
91.49399977,-4.28907100
91.49599977,-4.32081100
91.49799977,-4.27869500
91.49999977,-4.28907100
91.50199977,-4.34156300
91.50399977,-4.35194000
91.50599977,-4.27869500
91.50799977,-4.29944800
91.50999977,-4.28907100
91.51199977,-4.27869500
91.51399977,-4.28907100
91.51599977,-4.30982400
91.51799977,-4.28907100
91.51999977,-4.29944800
91.52199977,-4.26770800
91.52399977,-4.29944800
91.52599977,-4.30982400
91.52799977,-4.27869500
91.52999977,-4.26770800
91.53199977,-4.29944800
91.53399977,-4.29944800
91.53599977,-4.30982400
91.53799977,-4.28907100
91.53999977,-4.29944800
91.54199977,-4.29944800
91.54399977,-4.27869500
91.54599977,-4.30982400
91.54799977,-4.30982400
91.54999977,-4.32081100
91.55199977,-4.32081100
91.55399977,-4.28907100
91.55599977,-4.30982400
91.55799977,-4.26770800
91.55999977,-4.29944800
